date,ticker,state,first hammer date,progress,num inverted hammer,hold,max ror
2020-05-23 09:00:00,KRW-TFUEL,rise,2020-05-21 09:00:00,2,1,0,43.39622641509434
2020-05-31 09:00:00,KRW-POLYX,rise,2020-05-24 09:00:00,7,1,0,36.02620087336245
2020-06-17 09:00:00,KRW-STRAX,rise,2020-06-10 09:00:00,7,2,0,75.17006802721087
2020-07-19 09:00:00,KRW-IQ,rise,2020-06-18 09:00:00,31,1,5,46.60633484162897
2020-07-28 09:00:00,KRW-AHT,rise,2020-07-27 09:00:00,1,1,0,130.67776456599285
2020-09-13 09:00:00,KRW-ARK,rise,2020-09-12 09:00:00,1,1,5,30.88235294117647
2020-10-09 09:00:00,KRW-RFR,rise,2020-10-08 09:00:00,1,1,0,97.78761061946904
2020-10-09 09:00:00,KRW-MOC,rise,2020-09-18 09:00:00,21,2,0,39.89637305699482
2020-10-09 09:00:00,KRW-AHT,rise,2020-09-15 09:00:00,24,1,0,51.08910891089109
2020-10-09 09:00:00,KRW-PLA,rise,2020-10-08 09:00:00,1,1,0,61.84738955823293
2020-10-10 09:00:00,KRW-CVC,rise,2020-09-14 09:00:00,26,1,0,60.06493506493506
2020-10-10 09:00:00,KRW-HIVE,rise,2020-10-05 09:00:00,5,1,0,96.61016949152543
2020-10-24 09:00:00,KRW-STRK,rise,2020-10-08 09:00:00,16,2,5,53.75722543352601
2020-11-07 09:00:00,KRW-POLYX,rise,2020-10-24 09:00:00,14,2,2,45.03968253968254
2020-11-11 09:00:00,KRW-HUNT,rise,2020-10-12 09:00:00,30,2,0,55.08982035928144
2020-11-11 09:00:00,KRW-STRK,rise,2020-11-10 09:00:00,1,1,5,86.69724770642202
2020-11-12 09:00:00,KRW-MVL,rise,2020-10-21 09:00:00,22,2,0,68.84057971014495
2020-11-14 09:00:00,KRW-ARK,rise,2020-11-08 09:00:00,6,2,6,41.31578947368421
2020-11-20 09:00:00,KRW-XEC,rise,2020-11-19 09:00:00,1,1,0,41.65366614664587
2020-11-25 09:00:00,KRW-RFR,rise,2020-11-22 09:00:00,3,1,0,34.196891191709845
2020-11-25 09:00:00,KRW-STRAX,rise,2020-11-24 09:00:00,1,1,2,79.56204379562044
2020-12-01 09:00:00,KRW-IQ,rise,2020-10-27 09:00:00,35,2,5,33.20463320463322
2020-12-01 09:00:00,KRW-SRM,rise,2020-11-23 09:00:00,8,2,0,73.16017316017316
2020-12-02 09:00:00,KRW-SBD,rise,2020-12-01 09:00:00,1,1,8,143.3206106870229
2020-12-02 09:00:00,KRW-CVC,rise,2020-12-01 09:00:00,1,1,0,68.07610993657505
2020-12-02 09:00:00,KRW-PLA,rise,2020-10-25 09:00:00,38,1,0,82.77777777777777
2020-12-05 09:00:00,KRW-STRK,rise,2020-12-01 09:00:00,4,2,5,49.55156950672646
2020-12-06 09:00:00,KRW-MVL,rise,2020-12-05 09:00:00,1,1,0,33.48623853211009
2020-12-18 09:00:00,KRW-AQT,rise,2020-12-08 09:00:00,10,2,0,30.434782608695656
2020-12-19 09:00:00,KRW-MTL,rise,2020-12-08 09:00:00,11,1,3,45.27845036319613
2020-12-20 09:00:00,KRW-POLYX,rise,2020-12-19 09:00:00,1,1,2,48.009950248756205
2020-12-20 09:00:00,KRW-AERGO,rise,2020-12-17 09:00:00,3,1,0,34.65346534653465
2020-12-21 09:00:00,KRW-CHZ,rise,2020-12-14 09:00:00,7,3,0,82.85714285714286
2020-12-29 09:00:00,KRW-SRM,rise,2020-12-22 09:00:00,7,1,0,54.385964912280706
2021-01-01 09:00:00,KRW-IQ,rise,2020-12-30 09:00:00,2,2,5,198.46153846153845
2021-01-01 09:00:00,KRW-FCT2,rise,2020-12-30 09:00:00,2,1,0,32.31597845601436
2021-01-02 09:00:00,KRW-SBD,rise,2020-12-18 09:00:00,15,1,8,40.166666666666664
2021-01-04 09:00:00,KRW-STMX,rise,2021-01-01 09:00:00,3,1,3,32.01438848920864
2021-01-06 09:00:00,KRW-HUNT,rise,2021-01-05 09:00:00,1,1,1,33.262260127931775
2021-01-08 09:00:00,KRW-RFR,rise,2021-01-01 09:00:00,7,1,0,31.944444444444443
2021-01-08 09:00:00,KRW-CRO,rise,2021-01-02 09:00:00,6,1,0,33.78684807256235
2021-01-09 09:00:00,KRW-IOST,rise,2021-01-08 09:00:00,1,1,8,63.000000000000014
